,Location,Total sqft,price,bedrooms
0,Chembur,984,30500000.0,3.0
1,Kurla,598,14200000.0,2.0
2,Malad West,738,15400000.0,2.0
4,Vikhroli,582,14500000.0,2.0
6,other,1130,48000000.0,3.0
7,other,671,27200000.000000004,2.0
8,Dombivali,917,9500000.0,3.0
9,Palghar,701,2730000.0,1.0
10,Malad East,387,8823000.0,1.0
11,Vangani,417,1075000.0,1.0
12,Jogeshwari West,333,7498999.999999999,1.0
13,Malad East,638,14300000.0,2.0
14,Kurla,425,9155000.0,1.0
15,Dahisar,623,13500000.0,2.0
16,Borivali East,501,11200000.000000002,2.0
17,Mulund West,771,22100000.0,2.0
18,Kharghar,938,14300000.0,3.0
19,Vasai,287,2141000.0,1.0
20,Kharghar,2215,25299999.999999996,3.0
21,Santacruz East,778,32400000.000000004,3.0
22,Ambernath East,821,4426000.0,3.0
23,Palghar,565,1860000.0000000002,1.0
24,Vangani,395,1701000.0000000002,1.0
25,Palghar,590,1770000.0,1.0
27,other,425,15600000.0,1.0
28,Dahisar,396,6533000.0,1.0
29,Karjat,755,3250000.0,2.0
31,Goregaon East,485,14000000.0,1.0
32,Panvel,261,4550000.0,1.0
33,Kalyan West,477,3849000.0,1.0
34,Andheri East,655,19100000.0,2.0
35,other,428,3550000.0,1.0
36,Umroli,950,2375000.0,2.0
37,Virar,527,4530000.0,1.0
38,Kalyan East,500,4400000.0,1.0
39,Thane West,409,3015000.0,1.0
40,Shahapur,653,3849000.0,2.0
41,Chembur,320,6990000.000000001,1.0
42,Taloja,928,6100000.0,3.0
43,Dombivali,410,3800000.0,1.0
44,Malad West,469,9000000.0,1.0
45,Vasai,575,2750000.0,1.0
46,Panvel,263,1848999.9999999998,1.0
47,Karjat,427,2531000.0,1.0
48,Ulwe,590,4500000.0,1.0
49,Badlapur East,525,2300000.0,1.0
50,Titwala,442,2950000.0,1.0
51,Diva,715,3949000.0,1.0
52,Kamothe,628,9000000.0,2.0
53,Thane West,515,12000000.0,2.0
54,Thane West,1300,25400000.0,4.0
55,Bhiwandi,740,3847999.9999999995,1.0
56,Virar,445,3414000.0,1.0
57,Dahisar,410,8900000.0,1.0
58,Neral,321,1989000.0,1.0
59,Kandivali West,644,20400000.0,2.0
60,Malad East,670,15000000.0,2.0
61,other,650,5799000.0,2.0
62,Powai,1239,47600000.0,3.0
63,Dahisar,542,11600000.0,2.0
64,Taloja,585,4250000.0,2.0
65,Rasayani,343,2350000.0,1.0
66,Borivali East,567,14500000.0,2.0
67,Badlapur West,520,3600000.0,2.0
68,Chembur,522,13400000.0,2.0
69,Chembur,917,28400000.0,3.0
70,Kurla,476,10400000.0,1.0
71,Malad West,999,20900000.0,3.0
72,Rasayani,320,2825000.0,1.0
73,Neral,329,1900000.0,1.0
74,other,739,29500000.0,2.0
75,Dombivali,917,9500000.0,3.0
76,Malad East,592,13400000.0,2.0
78,Malad East,435,10000000.0,1.0
79,Kurla,540,11500000.0,2.0
81,Titwala,598,3950000.0,2.0
82,Diva,699,3719000.0,1.0
83,Diva,465,2399000.0,1.0
84,Diva,713,3799000.0,1.0
85,Kamothe,515,7500000.0,1.0
86,Thane West,679,12400000.0,2.0
87,Thane West,887,18700000.0,3.0
88,Bhiwandi,1045,5434000.0,2.0
89,Bhiwandi,690,3588000.0000000005,1.0
90,Bhiwandi,1085,5642000.0,2.0
91,Bhiwandi,1060,5512000.0,2.0
92,Bhiwandi,795,4134000.0000000005,1.0
93,Virar,692,5300000.0,2.0
94,Virar,487,3699000.0,1.0
95,Dahisar,440,9551000.0,1.0
96,Dahisar,650,14500000.0,2.0
97,Thane West,644,15400000.0,2.0
